# Predicted Sunspot Number And Radio Flux Values
# With Expected Ranges
#
#-----Sunspot Number------ ----10.7 cm Radio Flux----
# YR MO PREDICTED HIGH LOW PREDICTED HIGH LOW
#--------------------------------------------------------------
2016 03 30.9 31.9 29.9 96.9 97.9 95.9
2016 04 30.5 32.5 28.5 96.1 97.1 95.1
2016 05 30.4 33.4 27.4 94.9 96.9 92.9
2016 06 30.3 35.3 25.3 93.2 96.2 90.2
2016 07 30.2 35.2 25.2 91.6 95.6 87.6
2016 08 30.0 36.0 24.0 90.3 94.3 86.3
2016 09 29.8 36.8 22.8 89.5 94.5 84.5
2016 10 30.0 37.0 23.0 88.9 94.9 82.9
2016 11 30.1 38.1 22.1 88.1 95.1 81.1
2016 12 30.5 39.5 21.5 87.8 95.8 79.8
